code,name
1,Managers
2,Occupations requiring advanced level of higher education
3,Occupations requiring higher education qualifications or equivalent
4,Administration and customer service clerks
5,"Service, care and shop sales workers"
6,"Agricultural, horticultural, forestry and fishery workers"
7,Building and manufacturing workers
8,"Mechanical manufacturing and transport workers, etc."
9,Elementary occupations
0,Armed forces occupations
11,"Legislators, chief executives and senior government officials "
12,Administrative and commercial managers
13,Production and specialized services managers
14,Education managers
15,Health and other services managers
16,Financial and insurance services branch managers
17,"Hotel, restaurant, retail and other services managers"
21,Occupations requiring advanced academic competence in science and technology
22,Occupations requiring advanced academic competence in health care
23,Occupations requiring advanced academic competence in education
24,Occupations requiring advanced academic competence in finance and management
25,Occupations requiring advanced academic skills in information and communications technology (ICT)
26,"Occupations requiring advanced academic skills in law, culture, and social work etc."
31,Occupations requiring higher education qualification or equivalent in technology
32,Occupations requiring higher education qualification or the equivalent in healthcare and laboratory
33,Occupations requiring higher education qualification or equivalent in finance and management
34,"Occupations requiring higher education qualification or the equivalent in culture, wellness and social work"
35,"Occupations requiring higher education qualification or equivalent in information, communication  (ICT), sound and light technologies, etc."
41,Office clerks
42,Customer services clerk
43,Stock clerks
44,Other office and service workers
51,Service workers
52,Sales workers
53,Personal care workers
54,Surveillance workers and fire fighters
61,Skilled agricultural and horticultural workers
62,Skilled forestry and fishery workers
71,Building and construction workers
72,"Metal, machinery and related trades workers"
73,"Precision-instrument makers, printing and handicraft workers"
74,Electrical and electronic trades workers
75,Handicraft workers in wood and textile
76,Food processing and related trades workers
81,Stationary plant and machine operators
82,Assemblers
83,Drivers and mobile plant operators
91,Cleaners and helpers
92,Berry picker and planters
93,"Labourers in construction, manufacturing and transport"
94,Food preparation assistants
95,Market salespersons
96,"Recycling collectors, paper delivery and other service workers"
01,Officers
02,Specialist Officers
03,Soldiers
111,Legislators and senior officials
112,Managing directors and chief executives
121,Finance managers
122,Human resource managers
123,Administration and planning managers
124,"Information, communication and public relations managers"
125,Sales and marketing managers
129,Administration and service managers not elsewhere classified
131,Information and communications technology service managers
132,"Supply, logistics and transport managers"
133,Research and development managers
134,Architectural and engineering managers
135,Real estate and head of administration manager
136,Production managers in construction and mining
137,Production managers in manufacturing
138,Forestry and agricultural production managers
141,Primary and secondary schools and adult education managers
142,Preschool managers
149,Education managers not elsewhere classified
151,Health care managers
152,Managers in social and curative care
153,Elderly care managers
154,Managers and leaders within religious bodies
159,Other social services managers
161,Financial and insurance managers
171,Hotel and conference managers
172,Restaurant managers
173,Retail and wholesale trade managers
174,"Sports, leisure and wellness managers"
179,Other services managers not elsewhere classified
211,Physicists and chemists
212,"Mathematicians, actuaries and statisticians"
213,"Biologists, pharmacologists and specialists in agriculture and forestry"
214,Engineering professionals
216,Architects and surveyors
217,Designers
218,Specialists within environmental and health protection
221,Medical doctors
222,Nursing professionals
223,Nursing professionals (cont.)
224,Psychologists and psychotherapists
225,Veterinarians
226,Dentists
227,"Naprapaths, physiotherapists, occupational therapists"
228,Specialists in health care not elsewhere classified
231,University and higher education teachers
232,Vocational education teachers
233,Secondary education teachers
234,Primary- and pre-school teachers 
235,Teaching professionals not elsewhere classified
241,"Accountants, financial analysts and fund managers"
242,"Organisation analysts, policy administrators and human resource specialists"
243,Marketing and public relations professionals
251,"ICT architects, systems analysts and test managers"
261,Legal professionals
262,Museum curators and librarians and related professionals
264,"Authors, journalists and linguists"
265,Creative and performing artists
266,Social work and counselling professionals
267,Religious professionals and deacons
311,Physical and engineering science technicians
312,Construction and manufacturing supervisors
315,Ship and aircraft controllers and technicians
321,Medical and pharmaceutical technicians
323,Complementary medicine therapists and associate professionals
324,Veterinary assistants
325,Dental hygienists
331,Financial and accounting associate professionals
332,"Insurance advisers, sales and purchasing agents"
333,Business services agents
334,Administrative and specialized secretaries
335,Tax and related government associate professionals
336,Police officers 
341,Social work and religious associate professionals
342,"Athletes, fitness instructors and recreational workers"
343,"Photographers, interior decorators and entertainers"
344,Driving instructors and other instructors
345,Culinary associate professionals
351,ICT operations and user support technicians
352,Broadcasting and audio-visual technicians
411,Office assistants and other secretaries
421,"Croupiers, debt collectors and related workers"
422,Client information clerks
432,Stores and transport clerks
441,Library and filing clerks
442,Postmen and postal facility workers
443,Elected representatives
511,"Cabin crew, guides and related workers"
512,Cooks and cold-buffet managers
513,Waiters and bartenders
514,"Hairdressers, beauty and body therapists"
515,Building caretakers and related workers
516,Other service related workers
522,Shop staff
523,Cashiers and related clerks
524,Event seller and telemarketers
531,Child care workers and teachers aides
532,Personal care workers in health services
533,Health care assistants
534,"Attendants, personal assistants and related workers"
535,Dental nurses
541,Other surveillance and security workers
611,Market gardeners and crop growers
612,Animal breeders and keepers
613,Mixed crop and animal breeders
621,Forestry and related workers
622,Aquaculture and fishery workers
711,"Carpenters, bricklayers and construction workers"
712,"Roofers, floor layers, plumbers and pipefitters"
713,"Painters, Lacquerers, Chimney-sweepers and related trades workers"
721,"Sheet and structural metal workers, moulders and welders, and related workers"
722,"Blacksmiths, toolmakers and related trades workers"
723,Machinery mechanics and fitters
731,Precision-instrument makers and handicraft workers
732,Printing trades workers
741,Electrical equipment installers and repairers
742,Electronics and telecommunications installers and repairers
752,"Wood treaters, cabinet-makers and related trades workers"
753,"Tailors, upholsterers and leather craftsmen"
761,"Butchers, bakers and food processors"
811,Mining and mineral processing plant operators
812,Metal processing and finishing plant operators
813,"Machine operators, chemical and pharmaceutical products"
814,"Machine operators, rubber, plastic and paper products"
